Feature,Importance,Region,Model
Price,0.005200184124948019,Japan,Gradient Boosting
POP_Level,0.0010110998738439016,Japan,Gradient Boosting
GDP_Level,0.0008172588932776697,Japan,Gradient Boosting
Growth_rate,0.00011293618880333895,Japan,Gradient Boosting
GDPP,8.164191339502055e-05,Japan,Gradient Boosting
Year,1.295088338779755,Japan,Permutation
NPP,0.2261393624345665,Japan,Permutation
Value_Area,0.031739788144609524,Japan,Permutation
Price,0.02144342933357716,Japan,Permutation
Quantity,0.0063751738617848445,Japan,Permutation
GDP_Level,0.00019164085196183845,Japan,Permutation
GDPP,0.00016673071363204617,Japan,Permutation
POP_Level,6.939088362123425e-05,Japan,Permutation
Growth_rate,5.593847868057278e-05,Japan,Permutation
Value_Area,0.5961173705732028,Poland,Random Forest
NPP,0.2238518319561157,Poland,Random Forest
Year,0.0780417481649076,Poland,Random Forest
Quantity,0.05701547663083096,Poland,Random Forest
Price,0.035095309853345524,Poland,Random Forest
GDPP,0.005240324660405731,Poland,Random Forest
Growth_rate,0.0018624994576640285,Poland,Random Forest
GDP_Level,0.001520642732242275,Poland,Random Forest
POP_Level,0.001254795971285367,Poland,Random Forest
Value_Area,0.4884154563351689,Poland,Gradient Boosting
NPP,0.18715517795934572,Poland,Gradient Boosting
Year,0.16302881973035543,Poland,Gradient Boosting
Quantity,0.07455855048058936,Poland,Gradient Boosting
Price,0.051886115468452836,Poland,Gradient Boosting
GDPP,0.02724953873106774,Poland,Gradient Boosting
POP_Level,0.004671074747299535,Poland,Gradient Boosting
GDP_Level,0.0021696778221447495,Poland,Gradient Boosting
Growth_rate,0.0008655887255756343,Poland,Gradient Boosting
Value_Area,0.8830127896195936,Poland,Permutation
NPP,0.27848380749266877,Poland,Permutation
Quantity,0.23917683014099572,Poland,Permutation
Year,0.19138306973165972,Poland,Permutation
Price,0.08354813465746332,Poland,Permutation
GDPP,0.004676000686086678,Poland,Permutation
Growth_rate,0.0013377995600503568,Poland,Permutation
GDP_Level,0.0009719239565458393,Poland,Permutation
POP_Level,0.0006172785828689187,Poland,Permutation
Year,0.7039525945708068,Russian Federation,Random Forest
NPP,0.19525097719304013,Russian Federation,Random Forest
Value_Area,0.048884823710768015,Russian Federation,Random Forest
Growth_rate,0.016519619003450135,Russian Federation,Random Forest
Price,0.010798723538881522,Russian Federation,Random Forest
Quantity,0.0100273081159514,Russian Federation,Random Forest
GDP_Level,0.006551812750446331,Russian Federation,Random Forest
GDPP,0.005844161267147422,Russian Federation,Random Forest
POP_Level,0.0021699798495080818,Russian Federation,Random Forest
Year,0.6566127841150414,Russian Federation,Gradient Boosting
NPP,0.18822917945141143,Russian Federation,Gradient Boosting
Growth_rate,0.0791845969174822,Russian Federation,Gradient Boosting
Value_Area,0.05288147939912316,Russian Federation,Gradient Boosting
GDPP,0.006449866511025888,Russian Federation,Gradient Boosting
Price,0.006059460445196729,Russian Federation,Gradient Boosting
Quantity,0.005518266480779273,Russian Federation,Gradient Boosting
GDP_Level,0.003535188663173766,Russian Federation,Gradient Boosting
POP_Level,0.0015291780167661978,Russian Federation,Gradient Boosting
Year,1.1500369701846707,Russian Federation,Permutation
NPP,0.4144456600804213,Russian Federation,Permutation
Value_Area,0.04182960261613748,Russian Federation,Permutation
Price,0.017748093016557043,Russian Federation,Permutation
Quantity,0.01651156504431924,Russian Federation,Permutation
Growth_rate,0.006980230734255133,Russian Federation,Permutation
GDPP,0.004352480105289202,Russian Federation,Permutation
GDP_Level,0.004310684717619129,Russian Federation,Permutation
POP_Level,0.0017062365992637995,Russian Federation,Permutation
Year,0.6166518459469073,Sweden,Random Forest
NPP,0.22341692178010936,Sweden,Random Forest
Value_Area,0.09193471212352328,Sweden,Random Forest
Price,0.042311849847748974,Sweden,Random Forest
Quantity,0.022020816558530876,Sweden,Random Forest
GDP_Level,0.0010519743653840997,Sweden,Random Forest
Growth_rate,0.0009773513142194588,Sweden,Random Forest
GDPP,0.0008855838449196977,Sweden,Random Forest
POP_Level,0.0007489442186570598,Sweden,Random Forest
Year,0.5280748532299152,Sweden,Gradient Boosting
Value_Area,0.1980134176151611,Sweden,Gradient Boosting
NPP,0.1807534262992958,Sweden,Gradient Boosting
Price,0.07429514288089083,Sweden,Gradient Boosting
Quantity,0.016569580978484957,Sweden,Gradient Boosting
Growth_rate,0.0011028193169529009,Sweden,Gradient Boosting
POP_Level,0.0007551973523858546,Sweden,Gradient Boosting
GDP_Level,0.00023483288822965056,Sweden,Gradient Boosting
GDPP,0.00020072943868368096,Sweden,Gradient Boosting
Year,0.6508849665709737,Sweden,Permutation
Value_Area,0.35450594876736974,Sweden,Permutation
NPP,0.20950308656510871,Sweden,Permutation
Price,0.14954606983039104,Sweden,Permutation
Quantity,0.053738749144200126,Sweden,Permutation
Growth_rate,0.0006853633796839121,Sweden,Permutation
GDPP,0.0004100712208329971,Sweden,Permutation
GDP_Level,0.0003964930269635403,Sweden,Permutation
POP_Level,0.00028815797867156603,Sweden,Permutation
Year,0.5360324060510469,Rest of Africa,Random Forest
NPP,0.288998792899647,Rest of Africa,Random Forest
